File ID,File Name,Run Metadata ID,Study Name,PDC Study ID,PDC Study Version,Study ID,Project Name,Data Category,File Type,Access,File Size (in bytes),Md5sum,Downloadable,File Download Link
"308e43d2-0d0d-4644-bca5-f2e8410249fe","22CPTAC_PDA_W_JHU_20200128_LUMOS_f10.raw","22CPTAC_PDA_Proteome_JHU_20200128","CPTAC PDA Discovery Study - Proteome","PDC000270","1","1cf6e56a-02f4-4687-8f87-ab37b0f41960","CPTAC3 Discovery and Confirmatory","Raw Mass Spectra","Proprietary","Open","1139597652","c70576908309724d79edbf8186fb7ed6","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/22CPTAC_PDA_W_JHU_20200128_LUMOS_f10.raw?Expires=1696923251&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=fZSp0fS9oMAbCfyvT1TbMI9t~JPoHJ-rlO5~gCt0sLh752bIbClFlAkYuv41Sfk574nJw-GPoX1SkWgdkQNTwGD0B5SsLoamuWZ8M-SK~wyZfgu572RWMZRy7V4Fk9Xb3iNivvOHQ3DDLe0NKd3Z5qYZp-z6QgtYUAILjNdzzIauZOgRaFhn47oYu0MTsHmSSLedbPcdlyFyi0J7PAmQ~4wUFqj6N5JEHFA5xfH8Bqj8rlxQq-Nr6ao-ADrNKfQFzm6Cl8934DKy3Y0Heun7njqIU77wpkZbARD4Qzaud8GkpDDmfbuWun~7RE3I2w9Xq7IGJWhC7lgEx0OzF2JYZg__"
"319d0af5-935e-414a-9505-e5229b8eb4dc","14CPTAC_PDA_W_JHU_20191227_LUMOS_f15.raw","14CPTAC_PDA_Proteome_JHU_20191227","CPTAC PDA Discovery Study - Proteome","PDC000270","1","1cf6e56a-02f4-4687-8f87-ab37b0f41960","CPTAC3 Discovery and Confirmatory","Raw Mass Spectra","Proprietary","Open","811880528","cd62aa40f0c66e70396327278a716057","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/14CPTAC_PDA_W_JHU_20191227_LUMOS_f15.raw?Expires=1696923251&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=SdFzwwOjbEDw5XUcFyRb3OByLT~KBywkqr0ody~60bTusiMMxj6Nz3ycB13l10-Evh~h-ZKcZGqKaDY9b5HWaGZxWwtO~kwTo9miRfCGQsalbBwz6AOyKbCDrZp6fTBFiVYNErCOuIXV~K2uiVd95EALxK78sDnU5A-ETK2YVSg-eth94H8TGkLI756VphjYodIOEPYmzqQ3SNHQXk-3dV6zwS9xZFUqWQS3dUB43FaWftKteCGnc0iqwdv3WndkuFb7CN-GTFC1gPfCVbI3UgVKkxTBIs~8PWw3KEo6R5faRuFABCFODyBBPjmj71CSQRVjzDkekLwW0OyBuj6rHg__"
"31d33010-9c5d-4309-a8bc-83d9e4fe4487","20CPTAC_PDA_W_JHU_20200121_LUMOS_f01.raw","20CPTAC_PDA_Proteome_JHU_20200121","CPTAC PDA Discovery Study - Proteome","PDC000270","1","1cf6e56a-02f4-4687-8f87-ab37b0f41960","CPTAC3 Discovery and Confirmatory","Raw Mass Spectra","Proprietary","Open","1172648448","c219cf1778b196cadb0f8ec7fc2e84be","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/20CPTAC_PDA_W_JHU_20200121_LUMOS_f01.raw?Expires=1696923251&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=LxswzoKZWsEXrBxLj8GptsOEKD1k5l~bqvyzo5viDkgy1sOyzI9AcfJRSy7JGGXDlxJWCGcmwf99-8AXXQ9qidIKHHyz64TTQvnL179Bv2lfe9IHZO1q1IzynL2EXMBuYSW3ZdxvgYZs5qQoCXReabp8D6vswGuTwF0L-EZMrGsUa8lPlbWj90CwQXclRjpNQNdJhyrEQ9So4xjwHK7qxoxwBuB~AYiQDmWhfjSzI8TF0L3dW9ShSK9PMsEBL5Ie0-BYdv7BajNfSoYh0sdetFBem0lVJ2zGSS0dvUHndESVF8DVo2DPLkqA01x56ODFT9XFMO99l1ULpvH4AjB3cQ__"
"32cf1c0c-a2f9-472b-ad0c-bebd2ba1289d","10CPTAC_PDA_W_JHU_20191207_LUMOS_f16.raw","10CPTAC_PDA_Proteome_JHU_20191207","CPTAC PDA Discovery Study - Proteome","PDC000270","1","1cf6e56a-02f4-4687-8f87-ab37b0f41960","CPTAC3 Discovery and Confirmatory","Raw Mass Spectra","Proprietary","Open","804848662","e380895e0823d82877ed9f34d4dbf352","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/10CPTAC_PDA_W_JHU_20191207_LUMOS_f16.raw?Expires=1696923251&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=cdVSw103C9yyfYMk3a4lrcki~qhlyC14lbkSC4NBSsdjISss2Pe-n02Tj8jjjOgw6YXysSe6JFy5zXiFtQUe-3N3GY-qf~0QFiO~eAlMV7VHgfHDovGUycjT3MEB5bXtiUFQqTZKS7HDGRSuBuMiqsd7CH71gCZ8IvR7x3GZtrw--uBhogVVUPDhRylvouDfrfdkdBifBgi9R4FB-iE4gE-ps1sTT-g9wzPODA~Cj0vlWG2gdRzJU5oM~iwI~5fGaRgFiEBRYAtLbBnYmiImE5Yr0v~Ry4Y7Y1mkkL5Sj-VSa69sullyO6h6We~DpGtk-R-jOF5Mo9b7fIhRVPPMXw__"
"3327d5ad-f7f1-4b56-b502-ce3ee4d9359a","03CPTAC_PDA_W_JHU_20191111_LUMOS_f01.raw","03CPTAC_PDA_Proteome_JHU_20191111","CPTAC PDA Discovery Study - Proteome","PDC000270","1","1cf6e56a-02f4-4687-8f87-ab37b0f41960","CPTAC3 Discovery and Confirmatory","Raw Mass Spectra","Proprietary","Open","907739696","cb50e9838150a31fc2d1e4c2e8ba18fd","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/03CPTAC_PDA_W_JHU_20191111_LUMOS_f01.raw?Expires=1696923250&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=dihpdiol9NHP68OCB-U~01~89jjUl74KGfCAwX1F9NykFlmlOHdX-XGJiBg1b~47A4KoEf07rgmSKcpU2ErTSLnKhGubIQTa0MQXNkx~khIXlMKnZsn8~3cMA2jbw-AQRLSPj5ocP4bcl71YczbpT22aH2s4NZUf97meqS1kWXJyqmhMSOw3RgBgi5xpLB5ZvL8X8BvA5p3Mt8ch9UfuifeHeZcnPAMua4G-G9txrDe6w11kYod~DJ~G~xWNCswJ~O155ZK26DXVYW1eVK~9F4RnO5LS45XIVu~~apb7KFe8RjVzAc~ImWzRQoWpCoEII1ssHlA0UiuJYSxTs~6WMw__"
"33844038-084b-4980-b6ad-8bab48136551","07CPTAC_PDA_W_JHU_20200224_LUMOS_f03.raw","07CPTAC_PDA_Proteome_JHU_20200224","CPTAC PDA Discovery Study - Proteome","PDC000270","1","1cf6e56a-02f4-4687-8f87-ab37b0f41960","CPTAC3 Discovery and Confirmatory","Raw Mass Spectra","Proprietary","Open","915702342","600bd268e62eb1e6defd721319f7ec36","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/07CPTAC_PDA_W_JHU_20200224_LUMOS_f03.raw?Expires=1696923250&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=gwoMzE6q90vBA7~f1hG8eyPmfl~8K~LvAnQXxzaYVKOhmuVrXAOiqckDGMUhMDOE1NfoD~QsAJJeKEsjwNSCPUxZGDtf~38MJlS-ttH4bdJ8kMSQR9vPte36SL6vyJJVo84ud9SGEx87hG~MicfHuo-q0X8MzJs7ol67UeG2OUeGRHn0rjG2GJB2xjuThjveg-4UuG9ZQ9AcNKNlRVVrk4Zjefijw92K111qcqpwq-gFt0gLQHZAfrB3bskPGWRNnpSgBBAY3PE5-cpIIGaDOK4fAzeFued32j~n1IMtorX6sPKlG3mN6TWkeyNGbO5ZRDu1VauZqMIZuYNwz1H-JA__"
"33a004c5-24bb-4880-a6b1-4743e7d329ee","19CPTAC_PDA_W_JHU_20200117_LUMOS_f18.raw","19CPTAC_PDA_Proteome_JHU_20200117","CPTAC PDA Discovery Study - Proteome","PDC000270","1","1cf6e56a-02f4-4687-8f87-ab37b0f41960","CPTAC3 Discovery and Confirmatory","Raw Mass Spectra","Proprietary","Open","1045233190","dd7191e7a4b4f73aab302b854122a7e2","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/19CPTAC_PDA_W_JHU_20200117_LUMOS_f18.raw?Expires=1696923251&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=b8v53-q5D6b75m2wSq7swOGOh-ViINAY3w2vi1P4bl6vINmeIMby-3LZJ3PiVenqqxMM-L245dDVpfo-mqsq9VAvPemHk7aIu-Kx8d0g43LOOp1sDrBP5viljul16iif-URfkZFOxryrdLYkSiGZp5ZpxURBZlRRhO3s6vS5LY9uK5JkDnowmozteEfhzud1xauRFYbchwlpQNn0KQ0He8FWW0XsgpQ-eFXuFaufJlmB3KQ1XwvDn0jZQnuF1sbK3VegbS~sNXEkZ6dYZdqZXhwiMqV6eVwqLv7v2FFJ7OAuk2K6LdqtcOxeWAWhD8vD7PBusvAOWjDv5PJGABz2gQ__"
"3430a9c1-3279-43e6-9b34-2c209bdf678f","16CPTAC_PDA_W_JHU_20200103_LUMOS_f05.raw","16CPTAC_PDA_Proteome_JHU_20200103","CPTAC PDA Discovery Study - Proteome","PDC000270","1","1cf6e56a-02f4-4687-8f87-ab37b0f41960","CPTAC3 Discovery and Confirmatory","Raw Mass Spectra","Proprietary","Open","825689858","4bfb60df4dc42f15f2f788f9f70132c7","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/16CPTAC_PDA_W_JHU_20200103_LUMOS_f05.raw?Expires=1696923251&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=LMWS8EhI-78o~jg1A0ZeyDDidoPEF3h9yZ~g8a5aP6JBqipN6Y-F79MmqY1UyYcyUtqi1OmP~9CJkxL~dpAx~~Gwx0TE~liMx6xPgGS2bD-I84C0tc0uAE7vgZtLkUhz8HiUYzw25T077t2u3gOe-1-FBnjLMsXl7HrPEtHF8stcOeMrRll6O0SxjmXHhIqZXyZ5aB9DhibJrDq8uhI-uUqPzpotcYDnJGkIiYuQ0UjC7pxUVAW7wLKQ~1SA96VkZ0n4oYCtAXiU-OaYSENZAnpC2BY-QskdTeWdz6TX~X9npy5h5RsxqXlasRVZ41YZfTDBlhsu1UoF4jMAKYeWeg__"
"34446655-fde6-430f-bc1b-7f1c48a89c42","19CPTAC_PDA_W_JHU_20200117_LUMOS_f24.raw","19CPTAC_PDA_Proteome_JHU_20200117","CPTAC PDA Discovery Study - Proteome","PDC000270","1","1cf6e56a-02f4-4687-8f87-ab37b0f41960","CPTAC3 Discovery and Confirmatory","Raw Mass Spectra","Proprietary","Open","1016555774","297ec695d25a03332c7a9343aff38a88","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/19CPTAC_PDA_W_JHU_20200117_LUMOS_f24.raw?Expires=1696923251&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=HYszijRokmx~J5Be8jnGO7vyrTcxrtYcslIAFgvyB4APAypc-Oj-3HAEhMinhKwg0zFYyvIWQexZuZfDASvtBTqFL2YdcU6wF1llF2qRfwZDn-tNoRlGkXfG5-vkANfVip~yHjJCof~OPRKSsn7Uf1~jwLimo9GTYMYogv9POeJLQ4FVeIUiOKLlaL5ZrfpasPGnFk8NBf3lmO0fJNryWev1pRGytLxVCi~9-0RuGQa5nuZbWs~7qz0od7h6O1qEvY5xSJ0tTu7mXTSQLSZK8h3Z6g18Jza4PrpeMZnzdjloFrIb8iP1mzk-voqOY21inQ5Utb-R6N-hXavXu9oSpQ__"
"359e2879-afd9-4dd2-9233-5b0089bc4bec","14CPTAC_PDA_W_JHU_20191227_LUMOS_f18.raw","14CPTAC_PDA_Proteome_JHU_20191227","CPTAC PDA Discovery Study - Proteome","PDC000270","1","1cf6e56a-02f4-4687-8f87-ab37b0f41960","CPTAC3 Discovery and Confirmatory","Raw Mass Spectra","Proprietary","Open","801079468","c03de80889f3f843a60067a870dcd5aa","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/98/14CPTAC_PDA_W_JHU_20191227_LUMOS_f18.raw?Expires=1696923251&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Wvpm6wCulR-8nAe2RvW5L4BVmO7hQBKm0MlU043hXwkYFT8Dlz3jT2v8Mj3OaIRpxDjGiJ3fY1lZJvppNg2W80s-4FKPfsVURBEMimb8mjEXRLOQVb3qZI0IBp~dc1o69vJ85D~~jx~ACfwMJlj1HVZD6LHqxRhqg-qZWCB5wyVW68DdHmQpKHvuSVrP1aVRzbotY-SOwK7GkiXDde5m~5fs6odZpqwEK0QOym87EjgLB9aIL1oBNCj3eWjcL70YdD2c49k~N5ONcUNDEWUWQLM7tOjsuHexQLNozDa3vFx668LEwmZMZgg0i~VA2k7xa87fhHA8Rc8KppcYXowuNw__"
